text,merek,jenis_produk,kandungan,manfaat
somethinc ceramic skin saviour moisturizer gel pelembab wajah untuk hydrating kulit glowing ceramide,somethinc,"moisturizer gel, pelembab wajah","ceramic, ceramide","untuk hydrating kulit glowing, skin saviour"
tavi gel oil cleanser,tavi,"gel, oil cleanser",,
avoskin retinol,avoskin,,retinol,
susu cleanser dexskin derma express soothing sunflower seed,dexskin derma express,cleanser,"susu, sunflower seed",soothing
natur e hyaluglow deep rich hydrating moisturizer gel pelembab wajah hyaluronic acid vitamin membantu melembapkan mencerahkan kulit,natur e,moisturizer gel pelembab wajah,hyaluronic acid vitamin,"membantu melembapkan mencerahkan kulit, hyaluglow deep rich hydrating"
wardah exfoliating toner aha pha,wardah,toner,aha pha,exfoliating
wardah renew you treatment essence,wardah,essence,,renew you treatment
biore men scrub cool oil clear,biore men,scrub,,cool oil clear
viva cleansing cream cleanser wajah,viva,cream cleanser wajah,,cleansing
c4h6n4o3 alantoin allantoin,c4h6n4o3,,alantoin allantoin,
cremophor rh hydrogenated castor oil,,,"hydrogenated castor oil, cremophor rh",
elizabeth arden prevage anti - aging moisturizer cream spf30,elizabeth arden,moisturizer cream,,"prevage anti - aging, spf30"
adleeva brightening cream daylight night,adleeva,cream,,"daylight night, brightening"
avoskin hydrating treatment essence,avoskin,essence,,hydrating treatment
elvicto bright scrub wash face,elvicto,scrub wash face,,bright
viva milk cleanser lemon berminyak kotoran,viva,cleanser,"milk, lemon",berminyak kotoran
natur e advanced soft intensive firming serum memperbaiki mnutrisi kulit astaxanthin vitamin,natur e,serum,astaxanthin vitamin,"intensive firming, advanced soft, memperbaiki mnutrisi kulit"
nature republic fresh aloe cleansing foam,nature republic,foam,aloe,"cleansing, fresh"
somethinc calm down skinpair cleanser,somethinc,cleanser,,calm down skinpair
etonne calendula,etonne,,calendula,
the originote cica soothing essence toner,the originote,essence toner,cica,soothing
oasea white,oasea,,,white
la roche posay oil control uvmune,la roche posay,,,"oil control, uvmune"
crystallure supreme revitalizing rich cream,crystallure supreme,cream,,revitalizing rich
dexskin complete brightening,dexskin,,,complete brightening
hanasui flawless glow gentle cleanser,hanasui,gentle cleanser,,flawless glow
wardah bright peptide niacinamide hyperpigmentation expert night moisturizer,wardah,moisturizer,"niacinamide, peptide","bright, hyperpigmentation expert night"
neogen bio peel gauze peeling,neogen bio,peel gauze,,peeling
holika enprani wrinkle care pomegranate collagen stick,holika enprani,stick,pomegranate collagen,wrinkle care
uv fluid,,,fluid,uv
b erl gojicacteen treatment soothing gel moisturizer mask pelembab wajah,b erl,gel moisturizer mask pelembab wajah,,gojicacteen treatment soothing
tirtir ceramic cream,tirtir ceramic,cream,,
skintific hyaluronic acid barrier essence toner,skintific,essence toner,hyaluronic acid,barrier
ainie papaya brightening soap vitamin,ainie papaya,soap,vitamin,brightening
b erl skin key of brightening day cream night,b erl,cream,,"night, skin key of brightening day"
wardah vitamin c adenosine radiant charge gel moisturizer,wardah,gel moisturizer,vitamin c,adenosine radiant charge
safi age daily essence,safi,essence,,age daily
erha active glow,erha,,,active glow
2 nivea sunscreen face serum extra protect oil control spf50 pa sunblock tidak berminyak spf uv lightweight gel tekstur ringan cepat meresap no whitecast carnitine,2 nivea,"gel, sunblock, sunscreen face serum",carnitine,"tidak berminyak spf uv lightweight, no whitecast, extra protect oil control spf50 pa, tekstur ringan cepat meresap"
light wardah moisturizer cream niacinamide brightening pelembab wajah white facial night,wardah,"moisturizer cream, pelembab wajah",niacinamide,"light, white facial night, brightening"
hada labo ultimate white facial wash,hada labo,facial wash,,ultimate white
dexskin derma express salmon dna advance skin,dexskin derma express,,salmon dna,advance skin
tocobo collagen brightening eye gel cream,tocobo,gel cream,collagen,brightening eye
cnp laboratory propolis energy active ampule,cnp laboratory,,propolis,energy active ampule
elformula facial care daily gentle low ph cleanser peeling solution cerahydro barrier repair sunscreen spf,elformula,"sunscreen, cleanser",,"peeling solution cerahydro barrier repair, facial care daily gentle low ph, spf"
scarlett white jerawat day cream,scarlett,cream,,white jerawat day
ponds bright facial foam,ponds,facial foam,,bright
safi jerawat expert sebum control fluid toner wajah,safi,toner wajah,fluid,jerawat expert sebum control
safi age defy radiant day emulsion,safi,,emulsion,age defy radiant day
numbuzin blemish serum,numbuzin,blemish serum,,
renewal senka whip berry bright,senka whip,,berry,"bright, renewal"
sk ii essence,sk ii,essence,,
skintific ceramide barrier repair,skintific,,ceramide,barrier repair
kose white cleansing oil makeup remover batiste,kose,,,white cleansing oil makeup remover batiste
sk ii eye cream,sk ii,cream,,eye
skintific mugwort anti pores jerawat clay stick mask wajah untuk membersihkan pori,skintific,"mask wajah, clay stick",mugwort,"anti pores jerawat, untuk membersihkan pori"
elemis apricot toner,elemis,toner,apricot,
embryolisse moisturizer pelembab wajah untuk kulit kering,embryolisse,"moisturizer, pelembab wajah",,untuk kulit kering
hyaluronic acid sodium hyaluronate 50gram,,,hyaluronic acid sodium hyaluronate 50gram,
somethinc holyshield sunscreen mist spf46 pa,somethinc,"sunscreen, mist",,"spf46 pa, holyshield"
in one sunscreen bayi anak spf 50 pa skin barrier expert perlindungan kulit dari sinar uva uvb aman sensitif,in one,sunscreen,,bayi anak spf 50 pa skin barrier expert perlindungan kulit dari sinar uva uvb aman sensitif
caudalie smooth and glow,caudalie,,,smooth and glow
wardah brightening hydrating toner,wardah,toner,,brightening hydrating
pyunkang yul calming low ph foaming cleanser,pyunkang yul,foaming cleanser,,calming low ph
beauty of joseon green plum refreshing toner aha bha,beauty of joseon,toner,"aha bha, green plum",refreshing
glad2glow aha bha pha intensive peeling solution,glad2glow,,aha bha pha,intensive peeling solution
bio beauty lab blemish and pore clearing toner,bio beauty lab,toner,,blemish and pore clearing
emina bright prebiotic tranexamic acid brightening facial cleanser,emina,facial cleanser,prebiotic tranexamic acid,"bright, brightening"
lacoco bakuchiol essence,lacoco,essence,bakuchiol,
bhumi defense daily sunscreen,bhumi,sunscreen,,defense daily
glad2glow brow intense serum,glad2glow,serum,,brow intense
hadalabo gokujyun anti - aging serum,hadalabo gokujyun,serum,,anti - aging
glad2glow propolis hyaluronic acid barrier essence toner,glad2glow,essence toner,propolis hyaluronic acid,barrier
lilin lebah beeswax,beeswax,lilin lebah,,
innisfree blueberry rebalancing skin,innisfree,,blueberry,rebalancing skin
innisfree black tea youth enhancing lotion anti - aging untuk segarkan kulit lelah,innisfree,lotion,black tea,"anti - aging untuk segarkan kulit lelah, youth enhancing"
esther facial soap,esther,facial soap,,
perawatan mommies brightening hydrating,mommies,,,"perawatan, brightening hydrating"
natur e white bright glow radiant ultra light sun protection spf 45 pa sunscreen wajah tone up ringan melembabkan mencerahkan kulit vitamin gluthatione niacinamide,natur e,sunscreen wajah tone up,vitamin gluthatione niacinamide,"ringan melembabkan mencerahkan kulit, white bright glow radiant ultra light sun protection spf 45 pa"
dexskin derma express hydrating essence,dexskin derma express,essence,,hydrating
beauty of joseon ginseng moisturizer serum,beauty of joseon,"moisturizer, serum",ginseng,
sk ii skinpower essence,sk ii,essence,,skinpower
viva body painting remover,viva,,,body painting remover
benton green tea serum,benton,serum,green tea,
aizen jerawat barrier triple,aizen,,,jerawat barrier triple
isntree hyaluronic acid gel cream,isntree,gel cream,hyaluronic acid,
safi white natural anti jerawat cleanser tea tree,safi,cleanser,tea tree,white natural anti jerawat
noblesse facial foam cleansing,noblesse,facial foam,,cleansing
clean clear oil control,clean clear,,,oil control
erha brightening day cream,erha,cream,,brightening day
watsons face massager,watsons,,,face massager
simple kind to skin moisturising facial wash,simple kind to skin,facial wash,,moisturising
clinelle calm care cleanser,clinelle,cleanser,,calm care
somethinc jerawat treatment salicylic acid serum,somethinc,serum,salicylic acid,jerawat treatment
labore sensitive soothing mist,labore,mist,,"sensitive, soothing"
wardah hydra rose gel to foam cleanser,wardah,gel to foam cleanser,rose,hydra
safi age defy foam cleanser deep exfoliator,safi,foam cleanser,,"age defy, deep exfoliator"
neogen bio peel gauze peeling,neogen bio,peel gauze,,peeling
b erl brighthening essence treatment mencerahkan niacinamide extract flower,b erl,essence,niacinamide extract flower,"brighthening, treatment mencerahkan"
cetaphil cleanser,cetaphil,cleanser,,
pyunkang yul essence toner,pyunkang yul,essence toner,,
dermaster hydrating ultimate glow,dermaster,,,hydrating ultimate glow
gatsby cooling face wash clean,gatsby,face wash,,"clean, cooling"
gatsby cooling face wash triple porefection,gatsby,face wash,,"triple porefection, cooling"
skintific aha bha pha lha peeling solution,skintific,,aha bha pha lha,peeling solution
wardah amino gel cleanser vitamin c sabun cuci wajah low ph untuk kulit kusam dry kering senstive face wash membersihkan mencerahkan melembapkan sensitive,wardah,"gel cleanser, face wash, sabun cuci wajah","vitamin c, amino","membersihkan mencerahkan melembapkan sensitive, low ph untuk kulit kusam dry kering senstive"
cosrx low ph morning gel cleanser,cosrx,gel cleanser,,"low ph, morning"
bhumi multi targeted natural adoring face oil,bhumi,,,multi targeted natural adoring face oil
innisfree green tea amino hydrating cleansing foam,innisfree,foam,green tea amino,hydrating cleansing
esther serum wajah kulit aging,esther,serum wajah,,kulit aging
lagom cellus revive essence toner,lagom,essence toner,,cellus revive
elemis collagen eye revive mask mata,elemis,mask,collagen,"eye revive, mata"
erha agec day cream pelembab wajah,erha,cream pelembab wajah,,agec day
wardah day moisturizer,wardah,moisturizer,,day
skintific dark spot eraser serum,skintific,serum,eraser,dark spot
skintific day light sunscreen mist spf 50 pa,skintific,sunscreen mist,,"day light, spf 50 pa"
skintific dark spot eraser serum,skintific,serum,eraser,dark spot
erha age corrector aha bha red algae facial wash,erha,facial wash,aha bha red algae,age corrector
animate salmon dna glowing gel,animate,gel,salmon dna,glowing
elizabeth arden prevage anti - aging daily serum,elizabeth arden,serum,,prevage anti - aging daily
dermaster,dermaster,,,
glad2glow peach retinol moisturizer,glad2glow,moisturizer,peach retinol,
emina spf 50 pa cica jerawat fighter sunscreen,emina,sunscreen,cica,"jerawat fighter, spf 50 pa"
anessa,anessa,,,
glad2glow apricot glycolic acid exfoliating smooth peeling gel,glad2glow,gel,apricot glycolic acid,exfoliating smooth peeling
banana boat simply protect moisturizer uv sunscreen lotion spf 50 pa,banana boat,"sunscreen lotion, moisturizer",,"simply protect, uv, spf 50 pa"
nuxe rich cleansing gel,nuxe,gel,,rich cleansing
skinlife foaming facial wash,skinlife,foaming facial wash,,
numbuzin vitamin boosting essential toner,numbuzin,essential toner,vitamin,boosting
elizabeth arden skin renewal booster,elizabeth arden,,,skin renewal booster
tavi retinol peptide slow aging serum,tavi,serum,retinol peptide,slow aging
mustika ratu penyegar sari ketimun toner mask bengkoang,mustika ratu,toner mask,"bengkoang, sari ketimun",penyegar
tocobo essence,tocobo,essence,,
noblesse eye cream,noblesse,cream,,eye
glow lovely vitamin cream,glow lovely,cream,vitamin,
tocobo watery sun cream spf50 pa,tocobo,cream,,"spf50 pa, watery sun"
natur e white bright glow radiant face and body extra protection vitamin gluthatione niacinamide toner moisturizer serum sunscreen spf 45 pa,natur e,toner moisturizer serum sunscreen,vitamin gluthatione niacinamide,"spf 45 pa, white bright glow radiant face and body extra protection"
daily peeling serum kulit berminyak,,serum,,"daily peeling, kulit berminyak"
beneath bhumi sugar rush exfoliating serum,beneath bhumi,serum,,sugar rush exfoliating
numbuzin deep clean fresh cream cleanser,numbuzin,cream cleanser,,deep clean fresh
aizen jerawat,aizen,,,jerawat
somethinc sunscreen spf 40 pa,somethinc,sunscreen,,spf 40 pa
erha21 erha facial wash oily skin sabun wajah kulit berminyak,"erha21, erha","sabun wajah, facial wash",,"oily skin, kulit berminyak"
glowlabs glow essence angkat sel kulit mati harian,glowlabs,essence,,"glow, angkat sel kulit mati harian"
pyunkang yul essence toner pad,pyunkang yul,essence toner pad,,
embryolisse lashes and brows booster,embryolisse,lashes and brows,,booster
tavi cica water break sun shield spf sunscreen wajah lightweight menyegarkan sunblock olahraga berenang,tavi,"sunscreen wajah, sunblock",cica,"water break sun shield spf, olahraga berenang, lightweight menyegarkan"
votre peau calendula hydrating face toner,votre peau,face toner,calendula,hydrating
acnes uv,,,,acnes uv
safi age defy essence,safi,essence,,age defy
the originote jerawat serum,the originote,serum,,jerawat
emina uv gel spf 50,emina,gel,,"uv, spf 50"
implora serum,implora,serum,,
innisfree black tea youth enhancing cream wajah perawatan,innisfree,cream wajah,black tea,"youth enhancing, perawatan"
numbuzin firming cream,numbuzin,cream,,firming
dexskin derma express whiteten jelly booster,dexskin derma express,jelly booster,,whiteten
beauty of joseon sunscreen aqua fresh rice,beauty of joseon,sunscreen,"aqua, rice",fresh
innisfree vitamin c green tea brightening cream,innisfree,cream,vitamin c green tea,brightening
viva sunscreen foundation tabir surya untuk melindungi kulit uv filter,viva,sunscreen foundation tabir surya,,untuk melindungi kulit uv filter
isntree green tea,isntree,,green tea,
heimish clean foam,heimish,foam,,clean
esther jerawat toner,esther,toner,,jerawat
erha acneact anti jerawat serum,erha,serum,,acneact anti jerawat
haruharu black rice soft peeling gel,haruharu,gel,black rice,soft peeling
caudalie vinopure salicylic spot solution cream jerawat,caudalie vinopure,cream,salicylic,"spot solution, jerawat"
dermaster lavijue wrinkle care serum clabiane derm cream,"dermaster lavijue, clabiane","serum, derm cream",,wrinkle care
viva moisturizer cream,viva,moisturizer cream,,
kose suncut uv milk spf50 pa sunscreen,kose,sunscreen,milk,"spf50 pa, suncut uv"
wardah renew you anti - aging eye cream,wardah,cream,,renew you anti - aging eye
fair and lovely vitamin,fair and lovely,,vitamin,
