text,merek,jenis_produk,kandungan,manfaat,topik,topik_label
emina water calming gel,emina,gel,,water calming,4,Hidrasi dan Perawatan Kulit Sensitif
avoskin retinol ampoule,avoskin,,retinol,ampoule,,
elformula mugwort soothing sun gel spf 40 pa mencerahkan wajah kusam hyaluronic niacinamide extract facial,elformula,"extract facial, gel","hyaluronic niacinamide, mugwort","soothing sun, spf 40 pa mencerahkan wajah kusam",,
jumiso hyaluronic acid cream,jumiso,cream,hyaluronic acid,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
elvicto men toner wajah pria membantu memudarkan kulit kusam hydrating brightening penyeimbang ph glowing white,elvicto men,toner wajah pria,,"membantu memudarkan kulit kusam hydrating brightening penyeimbang ph glowing, white",3,"Pelembap, Retinol, dan Perlindungan Kulit"
pyunkang yul calming sun cream spf 50 pa,pyunkang yul,cream,,"calming sun, spf 50 pa",,
l oreal uv defender serum protector sunscreen resist spf 50 pa,l oreal,defender serum protector sunscreen,,"resist spf 50 pa, uv",5,Brightening dengan Bahan Aktif
mother of pearl gel sunscreen spf 50 pa,mother of pearl,"gel, sunscreen",,spf 50 pa,2,Pembersih Wajah dan Perawatan Jerawat
skin sake retinol cream polyglutamic acid,skin sake,cream,"polyglutamic acid, retinol",,,
avoskin vitamin c wrinkle balm moisturizing stick,avoskin,"balm, stick",vitamin c,"moisturizing, wrinkle",,
esther serum,esther,serum,,,1,Skincare Anti-Aging dan Brightening
natur e white bright glow radiant miracle booster serum wajah vitamin niacinamide glutathione olive mencerahkan memperbaiki kulit,natur e,serum wajah,vitamin niacinamide glutathione olive,"mencerahkan memperbaiki kulit, white bright glow radiant miracle booster",,
b erl mencerahkan melembabkan perawatan wajah pelembab niacinamide lightening facial serum moisturizer,b erl,"facial serum, moisturizer, pelembab",niacinamide,"lightening, mencerahkan melembabkan perawatan wajah",,
ponds age miracle wrinkle corrector day cream spf18,ponds,cream,,"age miracle wrinkle corrector day, spf18",4,Hidrasi dan Perawatan Kulit Sensitif
skin light soap,,soap,,skin light,5,Brightening dengan Bahan Aktif
omg oh my glow bright booster moisturizer,omg oh my glow,moisturizer,,bright booster,2,Pembersih Wajah dan Perawatan Jerawat
innisfree long lasting sunscreen spf50 pa,innisfree,sunscreen,,"long lasting, spf50 pa",5,Brightening dengan Bahan Aktif
safi white expert day cream spf15,safi,cream,,"spf15, white expert day",,
ponds pure bright facial foam,ponds,facial foam,,pure bright,3,"Pelembap, Retinol, dan Perlindungan Kulit"
some mi aha bha pha 30 days miracle cream,some mi,cream,aha bha pha,30 days miracle,2,Pembersih Wajah dan Perawatan Jerawat
numbuzin glossy essence serum,numbuzin,essence serum,,glossy,,
restorative protective cream,,cream,,restorative protective,,
innisfree orchid toner,innisfree,toner,orchid,,4,Hidrasi dan Perawatan Kulit Sensitif
erha ultimate radiance face,erha,,,ultimate radiance face,,
numbuzin clear filter essence,numbuzin,essence,,clear filter,,
erha glow rejuvenation facial dna salmon retinol brightening hyaluronic repair,erha,facial,"dna salmon retinol, hyaluronic","brightening, glow rejuvenation, repair",,
cosrx salicylic acid daily cleanser,cosrx,cleanser,salicylic acid,daily,,
skin game hydrating facial wash,skin game,facial wash,,hydrating,4,Hidrasi dan Perawatan Kulit Sensitif
nivea men extra bright vitamin face scrub,nivea men,face scrub,vitamin,extra bright,1,Skincare Anti-Aging dan Brightening
abib essence calming drop,abib,essence,,calming drop,4,Hidrasi dan Perawatan Kulit Sensitif
beauty of joseon sunscreen rice probiotics,beauty of joseon,sunscreen,rice probiotics,,5,Brightening dengan Bahan Aktif
viva milk cleanser bengkuang membersihkan wajah untuk kulit normal,viva,cleanser,"bengkuang, milk",membersihkan wajah untuk kulit normal,2,Pembersih Wajah dan Perawatan Jerawat
esther moisturizer gel,esther,moisturizer gel,,,,
biore pore,biore,,,pore,,
adleeva moisturizer gel cream,adleeva,"gel cream, moisturizer",,,5,Brightening dengan Bahan Aktif
kose deep cleansing oil makeup remover cleanser,kose,,,deep cleansing oil makeup remover cleanser,1,Skincare Anti-Aging dan Brightening
esther sun cream tabir surya wajah,esther,sun cream tabir surya wajah,,,,
dermies facial jerawat comedo extraction,dermies,facial,,jerawat comedo extraction,,
elizabeth arden brightening cicaglow,elizabeth arden,,cicaglow,brightening,,
numbuzin cica ceramide repair cream,numbuzin,cream,cica ceramide,repair,1,Skincare Anti-Aging dan Brightening
avoskin miraculous refining serum,avoskin,serum,,miraculous refining,3,"Pelembap, Retinol, dan Perlindungan Kulit"
avoskin hydrating treatment essence,avoskin,essence,,hydrating treatment,,
glad2glow pomegranate niacinamide brightening toner,glad2glow,toner,pomegranate niacinamide,brightening,5,Brightening dengan Bahan Aktif
tavi shield mist,tavi,mist,,shield,,
emina high res bright glow sphere serum,emina,sphere serum,,high res bright glow,2,Pembersih Wajah dan Perawatan Jerawat
cerave hydrating foaming oil facial cleanser,cerave,foaming oil facial cleanser,,hydrating,1,Skincare Anti-Aging dan Brightening
ultima ii hydrating serum,ultima ii,serum,,hydrating,,
anessa day serum spf50 pa,anessa,serum,,"day, spf50 pa",,
5 calm little fairy remaja untuk kulit sensitif kemerahan,little fairy,,,"5 calm, remaja untuk kulit sensitif kemerahan",4,Hidrasi dan Perawatan Kulit Sensitif
serum wajah lebih mencerahkan gllowing skin,,serum wajah,,lebih mencerahkan gllowing skin,4,Hidrasi dan Perawatan Kulit Sensitif
roro mendut sleeping mask glow anti - aging,roro mendut,sleeping mask,,glow anti - aging,,
scarlett jerawat serum tea tree salicyclic acid liquorice,scarlett,serum,"salicyclic acid liquorice, tea tree",jerawat,,
jf anti jerawat cleanser,jf,cleanser,,anti jerawat,3,"Pelembap, Retinol, dan Perlindungan Kulit"
sk ii ultimate perfecting eye cream,sk ii,cream,,ultimate perfecting eye,3,"Pelembap, Retinol, dan Perlindungan Kulit"
npure licorice bring the light cleanser,npure,cleanser,licorice,bring the light,4,Hidrasi dan Perawatan Kulit Sensitif
klairs supple preparation facial toner,klairs,facial toner,,supple preparation,,
glad2glow pomegranate niacinamide brightening moisturizer,glad2glow,moisturizer,"niacinamide, pomegranate",brightening,,
mary may peptide bakuchiol sun stick spf50 pa,mary may,sun stick,peptide bakuchiol,spf50 pa,2,Pembersih Wajah dan Perawatan Jerawat
parasol sunscreen gel,parasol,sunscreen gel,,,2,Pembersih Wajah dan Perawatan Jerawat
lagom mist toner,lagom,mist toner,,,2,Pembersih Wajah dan Perawatan Jerawat
innisfree retinol cica moisturizer recovery serum,innisfree,moisturizer recovery serum,retinol cica,,4,Hidrasi dan Perawatan Kulit Sensitif
shizengokochi facial soap green tea,shizengokochi,facial soap,green tea,,,
esther retinol cica,esther,,retinol cica,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
innisfree bija trouble cleansing foam cleanser,innisfree,foam cleanser,bija,trouble cleansing,2,Pembersih Wajah dan Perawatan Jerawat
isntree hyaluronic acid watery sun gel spf50 pa,isntree,gel,hyaluronic acid,"spf50 pa, watery sun",2,Pembersih Wajah dan Perawatan Jerawat
tocobo ceramide cream,tocobo,cream,ceramide,,1,Skincare Anti-Aging dan Brightening
esther brightening eye serum 0 ampul mata,esther,serum,,"0 ampul mata, brightening eye",4,Hidrasi dan Perawatan Kulit Sensitif
neogen bio peel gauze pad,neogen bio,peel gauze pad,,,,
avoskin serum,avoskin,serum,,,2,Pembersih Wajah dan Perawatan Jerawat
viva face tonic bengkuang pembersihan penyegar,viva,face tonic,bengkuang,pembersihan penyegar,,
viva face tonic spirulina biru penyegar,viva,face tonic,spirulina biru,penyegar,4,Hidrasi dan Perawatan Kulit Sensitif
viva milk cleanser lemon berminyak facial,viva,cleanser,"lemon, milk",berminyak facial,3,"Pelembap, Retinol, dan Perlindungan Kulit"
sk ii skinpower essence,sk ii,essence,,skinpower,1,Skincare Anti-Aging dan Brightening
aizen brightening barrier,aizen,,,brightening barrier,3,"Pelembap, Retinol, dan Perlindungan Kulit"
somethinc acnedot treatment low ph cleanser,somethinc,cleanser,,acnedot treatment low ph,1,Skincare Anti-Aging dan Brightening
votre peau sunscreen spf 50 pa ultra light weight niacinamide centella asiatica,votre peau,sunscreen,"centella asiatica, niacinamide",spf 50 pa ultra light weight,4,Hidrasi dan Perawatan Kulit Sensitif
lagom gel cleanser,lagom,"cleanser, gel",,,,
wardah glow toner ceramide aquaporin95 meningkatkan hidrasi memperbaiki skin barrier,wardah,toner,ceramide aquaporin95,"glow, meningkatkan hidrasi memperbaiki skin barrier",2,Pembersih Wajah dan Perawatan Jerawat
elemis dynamic resurfacing facial pads kapas exfoliating,elemis,"facial pads, kapas",,"dynamic resurfacing, exfoliating",1,Skincare Anti-Aging dan Brightening
beplain bean ph balanced cleansing foam,beplain,foam,bean,ph balanced cleansing,2,Pembersih Wajah dan Perawatan Jerawat
erha ultracalm face serum,erha,serum,,ultracalm face,,
nutrishe jerawat blemish advanced serum,nutrishe,serum,,jerawat blemish advanced,1,Skincare Anti-Aging dan Brightening
wardah uv shield airy smooth sunscreen serum spf 50 pa lightening concealer base make up wajah terlindungi noda hitam bekas jerawat tertutupi,wardah,"concealer, sunscreen serum",,"base make up wajah terlindungi noda hitam bekas jerawat tertutupi, spf 50 pa lightening, uv shield airy smooth",5,Brightening dengan Bahan Aktif
somethinc sunscreen spf 40 pa,somethinc,sunscreen,,spf 40 pa,5,Brightening dengan Bahan Aktif
labore sensitive physical sunscreen spf 50 pa,labore,sunscreen,,"physical, sensitive, spf 50 pa",,
beauty of joseon ginseng essence,beauty of joseon,essence,ginseng,,,
diri essentials prepme daily toner lactic acid citric niacinamide mencerahkan wajah kusam untuk semua jenis kulit,diri,"essentials, toner","citric niacinamide, lactic acid","mencerahkan wajah kusam untuk semua jenis kulit, prepme daily",3,"Pelembap, Retinol, dan Perlindungan Kulit"
numbuzin deep clean fresh cream cleanser,numbuzin,cream cleanser,,deep clean fresh,3,"Pelembap, Retinol, dan Perlindungan Kulit"
dermaster hydrating wrinkle care,dermaster,,,hydrating wrinkle care,,
skintific niacinamide brightening cleanser,skintific,cleanser,niacinamide,brightening,,
skin aqua moisturizer milk spf 50,skin aqua,moisturizer,milk,spf 50,,
viva cream pelembab wajah uv filter vitamin e,viva,cream pelembab wajah,vitamin e,uv filter,,
peg 40 hydrogenated castor oil,peg 40,,castor oil,hydrogenated,1,Skincare Anti-Aging dan Brightening
elformula intensive peeling solution mugwort soothing sun gel spf 40 pa,elformula,"gel, peeling",mugwort,"intensive, solution, soothing sun, spf 40 pa",,
cerave hydrating cleanser,cerave,cleanser,,hydrating,4,Hidrasi dan Perawatan Kulit Sensitif
fair lovely vitamin c glow,fair lovely,,vitamin c,glow,,
kanebo lotion,kanebo,lotion,,,4,Hidrasi dan Perawatan Kulit Sensitif
allura oil control mild cleanser foam,allura,cleanser foam,,oil control mild,4,Hidrasi dan Perawatan Kulit Sensitif
face serum retinol anti - aging,,face serum,retinol,anti - aging,,
holika aloe waterproof sun cream,holika,sun cream,aloe,waterproof,,
moisturizer avoskin multi herbs cooling effect,avoskin,moisturizer,multi herbs,cooling effect,4,Hidrasi dan Perawatan Kulit Sensitif
bio essence renew radiant youth facial oil,bio essence,,,renew radiant youth facial oil,3,"Pelembap, Retinol, dan Perlindungan Kulit"
romano perawatan daily use essential,romano,essential,,perawatan daily use,3,"Pelembap, Retinol, dan Perlindungan Kulit"
ms glow white pencerah glowing,ms glow,,,"pencerah glowing, white",,
diri essentials jerawat kulit sensitif,diri,essentials,,"jerawat, kulit sensitif",4,Hidrasi dan Perawatan Kulit Sensitif
pyunkang yul calming moisturizer mist,pyunkang yul,moisturizer mist,,calming,,
baby pink brightening facial wash,baby pink,facial wash,,brightening,5,Brightening dengan Bahan Aktif
pigeon teens facial foam remaja wajah,pigeon teens,facial foam,,remaja wajah,,
elemis collagen cream pelembab wajah,elemis,cream pelembab wajah,collagen,,,
elemis collagen skin protection spf 50 sunscreen wajah,elemis,sunscreen wajah,collagen,"skin protection, spf 50",,
npure licorice brigthening glowing,npure,,licorice,brigthening glowing,5,Brightening dengan Bahan Aktif
klairs preparation facial toner,klairs,facial toner,,preparation,,
caudalie purifying toner anti jerawat,caudalie,toner,,"anti jerawat, purifying",,
elizabeth arden ceramide daily youth restoring face serum,elizabeth arden,face serum,ceramide,daily youth restoring,,
skintific retinol skin renewal serum wajah untuk mengurangi kerutan garis halus anti - aging,skintific,serum wajah,retinol,"anti - aging, skin renewal, untuk mengurangi kerutan garis halus",,
wardah light low ph niacinamide hyaluronic zinc facial foam,wardah,facial foam,niacinamide hyaluronic zinc,light low ph,1,Skincare Anti-Aging dan Brightening
b erl mencerahkan anti ribet facia wash lightening facial serum essence,b erl,"essence, facia wash, facial serum",,"lightening, mencerahkan anti ribet",2,Pembersih Wajah dan Perawatan Jerawat
somethinc body care perawatan tubuh,somethinc,body care,,perawatan tubuh,,
jumiso pore purifying salicylic acid foaming cleanser,jumiso,foaming cleanser,salicylic acid,pore purifying,,
mary may blackberry cream essence,mary may,cream essence,blackberry,,1,Skincare Anti-Aging dan Brightening
aizen barrier sun,aizen,,,barrier sun,5,Brightening dengan Bahan Aktif
glowing luxury intense lightening moisturizer sunscreen untuk mencerahkan wajah,,moisturizer sunscreen,,"glowing luxury, intense lightening, untuk mencerahkan wajah",5,Brightening dengan Bahan Aktif
somethinc glow aha bha pha clarifying treatment toner exfoliating untuk angkat sel kulit mati lebih glowing,somethinc,toner,aha bha pha,"clarifying treatment, exfoliating untuk angkat sel kulit mati lebih glowing, glow",3,"Pelembap, Retinol, dan Perlindungan Kulit"
innisfree green tea seed hyaluronic cream wajah moisturizer,innisfree,cream wajah moisturizer,green tea seed hyaluronic,,1,Skincare Anti-Aging dan Brightening
sk ii men facial treatment essence,sk ii men,essence,,facial treatment,3,"Pelembap, Retinol, dan Perlindungan Kulit"
wardah hyaluron pentavitin deep water restore gel moisturizer,wardah,gel moisturizer,hyaluron pentavitin,deep water restore,3,"Pelembap, Retinol, dan Perlindungan Kulit"
aizen sun,aizen,,,sun,,
innisfree black tea youth enhancing skin toner anti - aging untuk segarkan kulit lelah,innisfree,toner,black tea,"anti - aging untuk segarkan kulit lelah, youth enhancing skin",,
implora ceramide skin barrier moisturizing gel,implora,gel,ceramide,skin barrier moisturizing,3,"Pelembap, Retinol, dan Perlindungan Kulit"
beneath bhumi essence,beneath bhumi,essence,,,,
bioderma spf30,bioderma,,,spf30,,
nature aloe fresh sun stick spf50,nature,sun stick,aloe,"fresh, spf50",,
emina uv gel spf 50 pa,emina,gel,,"spf 50 pa, uv",,
innisfree vitamin c green tea enzyme brightening serum,innisfree,serum,vitamin c green tea enzyme,brightening,,
ponds ultra light gel hydrating moisturizer cera hyamino,ponds,"gel, moisturizer",cera hyamino,"hydrating, ultra light",1,Skincare Anti-Aging dan Brightening
labore sensitive physical sunscreen,labore,sunscreen,,"physical, sensitive",,
sheetmasks elformula antiox serum cerahydro barrier repair moisturizer gel,elformula,"moisturizer gel, serum, sheetmasks",,"antiox, cerahydro barrier repair",,
collab tavi labore cica sun shield gel oil staining lip barrier revive cream,collab tavi labore,"cream, gel",cica,"barrier revive, oil staining lip, sun shield",5,Brightening dengan Bahan Aktif
dear me beauty skin barrier physical sunscreen spf 50 pa,dear me beauty,sunscreen,,"skin barrier physical, spf 50 pa",4,Hidrasi dan Perawatan Kulit Sensitif
skin game watery moisturizer pelembab wajah untuk barrier kulit berminyak,"skin game, watery",moisturizer pelembab wajah,,untuk barrier kulit berminyak,2,Pembersih Wajah dan Perawatan Jerawat
wardah uv shield aqua fresh essence spf 50 pa,wardah,essence,,"spf 50 pa, uv shield aqua fresh",,
safi essence pelembab kulit wajah,safi,essence pelembab,,kulit wajah,2,Pembersih Wajah dan Perawatan Jerawat
somethinc,somethinc,,,,4,Hidrasi dan Perawatan Kulit Sensitif
benton snail bee high content steam cream,benton,cream,snail bee,high content steam,5,Brightening dengan Bahan Aktif
caudalie instant foaming cleanser sabun wajah,caudalie,cleanser sabun wajah,,instant foaming,,
